ophys_session_id,ophys_experiment_id,date_of_acquisition,rig_id,rig_name,screen_center_x_mm,screen_center_y_mm,screen_center_z_mm
766830752,767421356,2018-10-23 08:59:25.090000,480119305,CAM2P.1,118.6,86.2,31.6
766910773,,2018-10-23 17:14:20,,,,,
766910785,767435553,2018-10-23 15:36:38.855000,523490080,CAM2P.5,118.6,86.2,31.6
766950687,767435838,2018-10-23 11:12:39.752000,523490080,CAM2P.5,118.6,86.2,31.6
767045388,767322431,2018-10-23 12:05:51.900000,506540632,CAM2P.3,118.6,86.2,31.6
767170968,767435198,2018-10-23 13:26:26.480000,523490080,CAM2P.5,118.6,86.2,31.6
767181211,769724580,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724588,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724595,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724602,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724608,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724615,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724623,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767181211,769724630,2018-10-23 14:07:45.217000,769904239,MESO.1,118.6,86.2,31.6
767197768,767424894,2018-10-23 20:16:58,604519819,CAM2P.6,118.6,86.2,31.6
767222072,767428412,2018-10-23 14:50:35.947000,523490076,CAM2P.4,118.6,86.2,31.6
767254594,767424876,2018-10-23 15:09:32.146000,480119307,CAM2P.2,118.6,86.2,31.6
767313814,767427353,2018-10-23 22:24:40,604519819,CAM2P.6,118.6,86.2,31.6
767329131,767428426,2018-10-23 16:21:59.288000,506540632,CAM2P.3,118.6,86.2,31.6
767362143,767430306,2018-10-24 00:03:24,604519819,CAM2P.6,118.6,86.2,31.6
767440939,768244935,2018-10-24 08:45:05.592000,523490080,CAM2P.5,118.6,86.2,31.6
767441755,768230720,2018-10-24 08:26:39.109000,480119307,CAM2P.2,118.6,86.2,31.6
767455758,768230502,2018-10-24 08:37:27.154000,480119305,CAM2P.1,118.6,86.2,31.6
767922048,768223868,2018-10-24 19:19:29,604519819,CAM2P.6,118.6,86.2,31.6
768053094,768224465,2018-10-24 21:21:24,604519819,CAM2P.6,118.6,86.2,31.6
768145246,768225217,2018-10-24 23:03:39,604519819,CAM2P.6,118.6,86.2,31.6
768253493,768898780,2018-10-25 08:28:50.506000,480119307,CAM2P.2,118.6,86.2,31.6
768253835,768897546,2018-10-25 08:45:38.570000,480119305,CAM2P.1,118.6,86.2,31.6
768434190,768903849,2018-10-25 11:17:32.805000,523490076,CAM2P.4,118.6,86.2,31.6
